	Cluster no	Representative no	Nterm	Nterm_GDT
20198	PSR82779	PSR82779.1	Xin	unk
20199	PSR82779	CZR46665.1	Xin	unk
20200	PSR82779	CVK97623.1	Xin	unk
20201	PSR82779	EGU74411.1	Xin	unk
20202	PSR82779	EWY82514.1	Xin	unk
20203	PSR82779	EWZ30853.1	Xin	unk
20204	PSR82779	EXK36217.1	Xin	unk
20205	PSR82779	PCD24983.1	Xin	unk
20206	PSR82779	PCD24984.1	Xin	unk
20207	PSR82779	RBR05989.1	Xin	unk
20208	PSR82779	SCO12884.1	Xin	unk
20209	PSR82779	SCO39916.1	Xin	unk
20210	PSR82779	XP_018252684.1	Xin	unk
20211	PSR82779	XP_018762380.1	Xin	unk
20212	PSR82779	XP_023434659.1	Xin	unk
20213	PSR82779	KOS36373.1	Xin	unk
20214	PSR82779	CRL25266.1	Xin	unk
20215	PSR82779	KUM58892.1	Xin	unk
20216	PSR82779	OQD72146.1	Xin	unk
20217	PSR82779	OQD86890.1	Xin	unk
20218	PSR82779	RFU28312.1	Xin	unk
20219	PSR82779	XP_024704092.1	Xin	unk
20220	PSR82779	PMD31588.1	Xin	SESB-LIKE
20221	PSR82779	PMD24400.1	Xin	unk
20222	PSR82779	RDL35976.1	Xin	SESB-LIKE
20223	PSR82779	PVH71069.1	Xin	unk
20224	PSR82779	RDW58387.1	Xin	unk
20225	PSR82779	XP_024548114.1	Xin	unk
20226	PSR82779	CCD51195.1	Xin	unk
20227	PSR82779	XP_024548113.1	Xin	unk
20228	PSR82779	PQE09098.1	Xin	unk
20229	PSR82779	PSK59339.1	Xin	unk
20230	PSR82779	XP_024549512.1	Xin	unk
24735	EWY82653	EWY82653.1	Xin	unk
24736	EWY82653	CVL01315.1	Xin	unk
24737	EWY82653	CVL08944.1	Xin	unk
24738	EWY82653	CZR46784.1	Xin	unk
24739	EWY82653	EMT67257.1	Xin	unk
24740	EWY82653	ENH74771.1	Xin	unk
24741	EWY82653	EWZ30714.1	Xin	unk
24742	EWY82653	EXA36377.1	Xin	unk
24743	EWY82653	EXL70168.1	Xin	unk
24744	EWY82653	EXM18301.1	Xin	unk
24745	EWY82653	EYB23416.1	Xin	unk
24746	EWY82653	KIL86013.1	Xin	unk
24747	EWY82653	KLO80204.1	Xin	unk
24748	EWY82653	KLP09000.1	Xin	unk
24749	EWY82653	KLP13920.1	Xin	unk
24750	EWY82653	PCD24424.1	Xin	unk
24751	EWY82653	PCD25102.1	Xin	unk
24752	EWY82653	PNP60582.1	Xin	unk
24753	EWY82653	PTD06323.1	Xin	unk
24754	EWY82653	RBA14191.1	Xin	unk
24755	EWY82653	RBR15628.1	Xin	unk
24756	EWY82653	SCO91915.1	Xin	unk
24757	EWY82653	SCV38964.1	Xin	unk
24758	EWY82653	XP_009254699.1	Xin	unk
24759	EWY82653	XP_011325817.1	Xin	unk
24760	EWY82653	XP_018252819.1	Xin	unk
24761	EWY82653	XP_018762257.1	Xin	unk
24762	EWY82653	XP_023434761.1	Xin	unk
24763	EWY82653	RFN43814.1	Xin	unk
24764	EWY82653	XP_003043278.1	Xin	unk
24765	EWY82653	XP_025594574.1	Xin	unk
24766	EWY82653	OBS22845.1	Xin	unk
24767	EWY82653	EXM20557.1	Xin	unk
24768	EWY82653	ENH71365.1	Xin	unk
24769	EWY82653	EXA34295.1	Xin	unk
24770	EWY82653	EXL67772.1	Xin	unk
24771	EWY82653	EYB21926.1	Xin	unk
24772	EWY82653	KIL85861.1	Xin	unk
24773	EWY82653	PCD24095.1	Xin	unk
24774	EWY82653	PTD08170.1	Xin	unk
24775	EWY82653	RBR26189.1	Xin	unk
24776	EWY82653	RFN53000.1	Xin	unk
24777	EWY82653	SCB66002.1	Xin	unk
24778	EWY82653	XP_009259555.1	Xin	unk
24779	EWY82653	XP_011323062.1	Xin	unk
24780	EWY82653	KJK68240.1	Xin	unk
24781	EWY82653	KOC15566.1	Xin	unk
24782	EWY82653	OOO05645.1	Xin	unk
24783	EWY82653	PIG79088.1	Xin	unk
24784	EWY82653	RAQ48568.1	Xin	unk
24785	EWY82653	RAQ73859.1	Xin	unk
24786	EWY82653	XP_015411923.1	Xin	unk
24787	EWY82653	XP_022392077.1	Xin	unk
24788	EWY82653	XP_024699466.1	Xin	unk
