	cluster_no	mean_seq_len	median_seq_len	sum_residues	unk_sequences	cluster_size	has_unk	seq_ids	class	no_classes
0	ANM86444	69.0	69.0	69	1.0	1	True	['ANM86444.1']	['Lecanoromycetes']	1
1	APA10359	613.0	613.0	613	0.0	1	False	['APA10359.1']	['Leotiomycetes']	1
2	APA15328	39.0	39.0	39	1.0	1	True	['APA15328.1']	['Leotiomycetes']	1
3	APA15680	85.0	85.0	85	1.0	1	True	['APA15680.1']	['Leotiomycetes']	1
4	APA16007	171.0	171.0	171	1.0	1	True	['APA16007.1']	['Leotiomycetes']	1
5	ATY63083	153.0	153.0	153	1.0	1	True	['ATY63083.1']	['Sordariomycetes']	1
6	ATY65722	162.0	162.0	323	2.0	2	True	['ATY65722.1', 'XP_006673547.1']	['Sordariomycetes']	1
7	ATY66020	145.0	145.0	290	2.0	2	True	['ATY66020.1', 'XP_006665427.1']	['Sordariomycetes']	1
8	ATY66741	687.0	687.0	687	0.0	1	False	['ATY66741.1']	['Sordariomycetes']	1
9	AUW30781	132.0	132.0	132	0.0	1	False	['AUW30781.1']	['Lecanoromycetes']	1
10	AUW30786	277.0	277.0	277	0.0	1	False	['AUW30786.1']	['Lecanoromycetes']	1
11	AVI60826	1236.0	1236.0	1236	0.0	1	False	['AVI60826.1']	['Pezizomycetes']	1
12	CAK40655	104.0	104.0	312	3.0	3	True	['CAK40655.1', 'RDK38818.1', 'XP_025455140.1']	['Eurotiomycetes']	1
13	CAK40771	85.0	85.0	85	1.0	1	True	['CAK40771.1']	['Eurotiomycetes']	1
14	CAK43596	439.0	441.0	5711	0.0	13	False	['CAK43596.1', 'GAA91747.1', 'GAQ33298.1', 'OJI87202.1', 'OJZ92758.1', 'RDH33001.1', 'RDK46430.1', 'XP_001388664.2', 'XP_025393365.1', 'XP_025474578.1', 'XP_025516644.1', 'XP_025544706.1', 'XP_025560504.1']	['Eurotiomycetes']	1
15	CAK45790	21.0	21.0	21	1.0	1	True	['CAK45790.1']	['Eurotiomycetes']	1
