Cluster no	Representative no	Nterm
CCA77866.1	CCA77866.1	unk
CCA77866.1	CCA77880.1	unk
CCA77866.1	CCA75861.1	unk
CCA77866.1	KKF96924.1	unk
CCA77866.1	KKF92125.1	unk
CCA77866.1	KKF95579.1	unk
CCA77866.1	PHH51899.1	unk
CCA77866.1	KOS37055.1	PATATIN
CCA77866.1	AET07142.1	PATATIN
CCA77866.1	CCA67313.1	unk
CCA77866.1	CCA68726.1	unk
CCA77866.1	PVG02351.1	PATATIN
CCA77866.1	CCA69190.1	PATATIN
CCA77866.1	CCA69846.1	PATATIN
CCA77866.1	CCA71059.1	unk
CCA77866.1	CCA73509.1	unk
CCA77866.1	CCA76176.1	PATATIN
CCA77866.1	CCA76868.1	unk
CCA77866.1	CCO29008.1	unk
CCA77866.1	CEJ57466.1	PATATIN
CCA77866.1	CEL57333.1	PATATIN
CCA77866.1	CRL18514.1	PATATIN
CCA77866.1	CUA69169.1	PATATIN
CCA77866.1	CUA72872.1	PATATIN
CCA77866.1	CUA73240.1	PATATIN
CCA77866.1	CUA76956.1	unk
CCA77866.1	CUA77083.1	PATATIN
CCA77866.1	CUA77727.1	PATATIN
CCA77866.1	CUA68361.1	PATATIN
CCA77866.1	CUA77829.1	PATATIN
CCA77866.1	CUA77734.1	PATATIN
CCA77866.1	CUA77736.1	PATATIN
CCA77866.1	EUC54179.1	PATATIN
CCA77866.1	CUA78562.1	PATATIN
CCA77866.1	CUA78010.1	PATATIN
CCA77866.1	CZR51766.1	PATATIN
CCA77866.1	CZR67325.1	unk
CCA77866.1	CZR68366.1	PATATIN
CCA77866.1	KFY78766.1	PATATIN
CCA77866.1	PQE09028.1	PATATIN
CCA77866.1	PQE22450.1	PATATIN
CCA77866.1	EFW22193.1	PATATIN
CCA77866.1	KMM64270.1	PATATIN
CCA77866.1	KMP09794.1	PATATIN
CCA77866.1	XP_001248467.2	PATATIN
CCA77866.1	ELU39121.1	PATATIN
CCA77866.1	CEL59569.1	PATATIN
CCA77866.1	KEP46628.1	PATATIN
CCA77866.1	CCO33386.1	PATATIN
CCA77866.1	CCO35549.1	PATATIN
CCA77866.1	CCO35724.1	PATATIN
CCA77866.1	CCO35944.1	PATATIN
CCA77866.1	CCO36734.1	PATATIN
CCA77866.1	CEL56336.1	PATATIN
CCA77866.1	CUA70177.1	PATATIN
CCA77866.1	EUC56735.1	PATATIN
CCA77866.1	KEP52388.1	PATATIN
CCA77866.1	KEP52390.1	PATATIN
