Cluster no	Representative no	Nterm	Nterm_GDT
PYI35418	PYI35418.1	unk	unk
PYI35418	OCK94366.1	unk	unk
PYI35418	CEJ83110.1	unk	unk
PYI35418	EXA28958.1	unk	unk
PYI35418	XP_025594674.1	unk	unk
PYI35418	KIM93217.1	unk	unk
PYI35418	KIN00703.1	unk	unk
PYI35418	KFY79747.1	unk	unk
PYI35418	KIM93149.1	unk	unk
PYI35418	OCK72916.1	unk	unk
PYI35418	OCK72980.1	unk	unk
PYI35418	PGH05022.1	unk	unk
PYI35418	PSN58928.1	unk	unk
PYI35418	EMD84659.1	unk	unk
PYI35418	PVH68198.1	unk	unk
PYI35418	PVH70769.1	unk	unk
PYI35418	SCV57407.1	unk	unk
PYI35418	SLM33418.1	unk	unk
PYI35418	PVH91106.1	unk	unk
PYI35418	SLM34688.1	unk	unk
PYI35418	XP_013954593.1	unk	unk
PYI35418	XP_002488349.1	unk	unk
PYI35418	XP_024738639.1	unk	unk
PYI35418	PVH67593.1	unk	unk
PYI35418	OCL03660.1	unk	unk
PYI35418	PVH68398.1	unk	unk
PYI35418	XP_002486795.1	unk	unk
PYI35418	XP_020055343.1	unk	unk
PYI35418	KGO75648.1	unk	unk
PYI35418	EHA19835.1	unk	unk
PYI35418	OKO97819.1	unk	unk
PYI35418	XP_002486804.1	unk	unk
PYI35418	XP_024675719.1	unk	unk
PYI35418	PYH91855.1	unk	unk
PYI35418	OKP09738.1	unk	unk
PYI35418	XP_025524687.1	unk	unk
PYI35418	OQE57856.1	unk	unk
XP_011392840	XP_011392840.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_013276951.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_025397190.1	SESB-LIKE	SESB-LIKE
XP_011392840	AET07147.1	SESB-LIKE	SESB-LIKE
XP_011392840	ANM86606.1	SESB-LIKE	SESB-LIKE
XP_011392840	AUW30756.1	SESB-LIKE	SESB-LIKE
XP_011392840	APA08683.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_001591723.1	SESB-LIKE	SESB-LIKE
XP_011392840	APA10720.1	SESB-LIKE	SESB-LIKE
XP_011392840	APA15661.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_001586433.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_024551423.1	SESB-LIKE	SESB-LIKE
XP_011392840	ATY59298.1	SESB-LIKE	SESB-LIKE
XP_011392840	AUM60061.1	SESB-LIKE	SESB-LIKE
XP_011392840	GAW16789.1	SESB-LIKE	SESB-LIKE
XP_011392840	KEY65518.1	SESB-LIKE	SESB-LIKE
XP_011392840	KFA52959.1	SESB-LIKE	SESB-LIKE
XP_011392840	KFA69780.1	SESB-LIKE	SESB-LIKE
XP_011392840	KFA75364.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_001219442.1	SESB-LIKE	SESB-LIKE
XP_011392840	CBF78714.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_025464980.1	SESB-LIKE	SESB-LIKE
XP_011392840	XP_680546.1	SESB-LIKE	SESB-LIKE
XP_011392840	CCA69054.2	SESB-LIKE	SESB-LIKE
XP_011392840	CCA73096.1	SESB-LIKE	SESB-LIKE
XP_011392840	CCA77943.1	SESB-LIKE	SESB-LIKE
XP_011392840	CCA74484.1	SESB-LIKE	SESB-LIKE
