Cluster no	No	Hit	Prob	E-value	P-value	Score	SS	Cols	Query HMM	Template HMM
OBZ65626	1	PF17111.5 ; Helo_like_N ; Fung	94.1	0.00064	1.2e-07	51.7	0.0	135	137-285	13-152 (209)
OBZ65626	2	PF17109.5 ; Goodbye ; fungal S	88.1	0.016	3.1e-06	39.7	0.0	66	110-176	55-120 (123)
OBZ65626	3	PF17107.5 ; SesA ; N-terminal	82.6	0.051	9.699999999999999e-06	37.1	0.0	103	146-260	12-131 (133)
OBZ65626	4	PF05659.11 ; RPW8 ; Arabidopsi	80.7	0.069	1.3000000000000001e-05	37.3	0.0	50	211-260	64-113 (140)
XP_024755941	1	PF17111.5 ; Helo_like_N ; Fung	99.1	9.1e-15	1.8e-18	116.9	0.0	172	107-281	1-177 (209)
XP_024755941	2	PF17107.5 ; SesA ; N-terminal	97.9	2.3e-09	4.4e-13	78.2	0.0	115	113-231	1-132 (133)
XP_024755941	3	PF06516.11 ; NUP ; Purine nucl	85.1	0.033	6.2e-06	44.3	0.0	49	2-51	69-124 (329)
XP_007827113	1	PF17107.5 ; SesA ; N-terminal	96.7	1.8000000000000001e-06	4.0999999999999993e-10	53.7	0.0	70	52-121	1-73  (133)
XP_007827113	2	PF17111.5 ; Helo_like_N ; Fung	94.4	0.00037999999999999997	8.7e-08	44.0	0.0	71	49-120	4-78  (209)
KUI55455	1	PF17100.5 ; NACHT_N ; N-termin	99.6	3e-21	6.4e-25	180.2	0.0	199	241-446	2-228 (229)
KUI55455	2	PF17109.5 ; Goodbye ; fungal S	98.4	4.9e-11	1e-14	99.0	0.0	121	243-379	1-123 (123)
KKY21558	1	PF01083.22 ; Cutinase ; Cutina	97.9	1.7000000000000001e-09	3.6000000000000003e-13	99.9	0.0	122	263-391	3-141 (207)
KKY21558	2	PF12146.8 ; Hydrolase_4 ; Seri	97.6	2e-08	4.4e-12	88.4	0.0	107	264-389	3-114 (239)
KKY21558	3	PF05057.14 ; DUF676 ; Putative	97.5	2.8e-08	6.0999999999999995e-12	90.8	0.0	116	264-391	4-142 (218)
KKY21558	4	PF03096.14 ; Ndr ; Ndr family	97.5	2.8e-08	6.4e-12	90.9	0.0	105	264-389	22-137 (283)
KKY21558	5	PF06259.12 ; Abhydrolase_8 ; A	97.4	5e-08	1.0000000000000001e-11	87.9	0.0	68	320-391	93-160 (190)
KKY21558	6	PF02089.15 ; Palm_thioest ; Pa	97.4	5e-08	1.1e-11	90.4	0.0	105	267-391	1-112 (271)
KKY21558	7	PF02129.18 ; Peptidase_S15 ; X	97.3	9.199999999999999e-08	2.1e-11	85.3	0.0	111	263-390	16-129 (267)
KKY21558	8	PF00975.20 ; Thioesterase ; Th	97.3	1e-07	2.2999999999999998e-11	82.1	0.0	102	267-389	2-106 (221)
KKY21558	9	PF05705.14 ; DUF829 ; Eukaryot	97.3	1.1e-07	2.5e-11	83.2	0.0	109	267-390	1-111 (238)
KKY21558	10	PF05990.12 ; DUF900 ; Alpha/be	97.2	1.5e-07	3.2e-11	84.2	0.0	121	263-391	11-136 (213)
PPQ79487	1	PF01637.18 ; ATPase_2 ; ATPase	96.6	2.4e-06	5.5e-10	64.0	0.0	36	246-281	19-54  (209)
PPQ79487	2	PF00308.18 ; Bac_DnaA ; Bacter	96.2	1.1e-05	2.6e-09	60.4	0.0	28	247-274	33-60  (219)
PPQ79487	3	PF07693.14 ; KAP_NTPase ; KAP	96.1	1.4999999999999999e-05	3.3e-09	63.9	0.0	29	246-274	30-58  (307)
PPQ79487	4	PF13191.6 ; AAA_16 ; AAA ATPas	96.1	1.6e-05	3.6e-09	58.3	0.0	28	248-275	25-52  (189)
PPQ79487	5	PF05729.12 ; NACHT ; NACHT dom	96.1	1.6e-05	3.6e-09	56.9	0.0	26	249-274	2-27  (170)
PPQ79487	6	PF00931.22 ; NB-ARC ; NB-ARC d	96.0	1.8e-05	4.1999999999999996e-09	59.7	0.0	26	248-273	19-44  (240)
PPQ79487	7	PF14516.6 ; AAA_35 ; AAA-like	96.0	2.1e-05	4.8e-09	63.8	0.0	39	247-285	30-68  (330)
PPQ79487	8	PF05621.11 ; TniB ; Bacterial	96.0	2.1e-05	4.8e-09	57.7	0.0	28	247-274	35-62  (191)
PPQ79487	9	PF01695.17 ; IstB_IS21 ; IstB-	95.6	5.4000000000000005e-05	1.2e-08	57.2	0.0	30	247-276	48-77  (179)
PPQ79487	10	PF13401.6 ; AAA_22 ; AAA domai	95.5	6.3e-05	1.4e-08	51.4	0.0	28	247-274	5-32  (131)
CVL12560	1	PF17107.5 ; SesA ; N-terminal	98.4	4.0000000000000004e-11	8.2e-15	95.3	0.0	121	144-264	1-132 (133)
CVL12560	2	PF17111.5 ; Helo_like_N ; Fung	98.0	8.3e-10	1.7e-13	93.1	0.0	127	132-267	1-131 (209)
CVL12560	3	PF14479.6 ; HeLo ; Prion-inhib	80.8	0.063	1.3000000000000001e-05	41.9	0.0	50	141-191	4-53  (199)
CCA76868	1	PF01734.22 ; Patatin ; Patatin	99.5	1.1000000000000001e-18	2.3e-22	173.2	0.0	193	286-489	1-221 (221)
CCA76868	2	PF05445.11 ; Pox_ser-thr_kin ;	99.3	8.299999999999999e-17	1.6000000000000002e-20	176.5	0.0	132	103-239	153-347 (431)
CCA76868	3	PF07714.17 ; Pkinase_Tyr ; Pro	99.2	7.5e-16	1.5e-19	161.0	0.0	130	103-236	3-193 (299)
CCA76868	4	PF12330.8 ; Haspin_kinase ; Ha	99.2	8e-16	1.6000000000000002e-19	168.4	0.0	127	107-237	148-293 (408)
CCA76868	5	PF00069.25 ; Pkinase ; Protein	99.1	5.3e-15	1.1000000000000001e-18	150.7	0.0	130	103-239	3-161 (260)
CCA76868	6	PF07387.11 ; Seadorna_VP7 ; Se	99.1	5.9e-15	1.2e-18	154.6	0.0	122	104-240	66-195 (306)
CCA76868	7	PF10707.9 ; YrbL-PhoP_reg ; Ph	99.0	1.9e-14	3.8e-18	140.1	0.0	128	104-239	6-178 (201)
CCA76868	8	PF06293.14 ; Kdo ; Lipopolysac	99.0	3.8e-14	7.9e-18	137.2	0.0	134	99-237	7-165 (204)
CCA76868	9	PF06176.11 ; WaaY ; Lipopolysa	98.9	5.700000000000001e-14	1.2e-17	139.5	0.0	129	103-239	35-187 (229)
CCA76868	10	PF17667.1 ; Pkinase_fungal ; F	98.9	1.2e-13	2.4e-17	147.8	0.0	127	105-238	150-318 (360)
KXG48434	1	PF17100.5 ; NACHT_N ; N-termin	99.4	8.9e-18	1.8e-21	140.5	0.0	137	144-283	79-228 (229)
KXG48434	2	PF17109.5 ; Goodbye ; fungal S	99.2	9.4e-16	1.8e-19	115.7	0.0	120	95-215	1-123 (123)
KIJ51634	1	PF17100.5 ; NACHT_N ; N-termin	95.3	0.0001	2.1e-08	62.3	0.0	135	269-404	79-227 (229)
KIJ51634	2	PF17109.5 ; Goodbye ; fungal S	90.8	0.0061	1.2e-06	45.2	0.0	69	269-337	52-121 (123)
KIJ51634	3	PF11618.8 ; C2-C2_1 ; First C2	88.2	0.015	3e-06	43.3	0.0	66	144-218	36-110 (142)
KIJ51634	4	PF17111.5 ; Helo_like_N ; Fung	83.6	0.04	8.2e-06	43.2	0.0	118	291-409	7-135 (209)
OCL05054	1	PF17100.5 ; NACHT_N ; N-termin	98.9	1.2e-13	2.6e-17	128.6	0.0	136	338-476	79-227 (229)
OCL05054	2	PF17109.5 ; Goodbye ; fungal S	98.6	3.5e-12	7.3e-16	107.5	0.0	118	291-409	1-123 (123)
OCL05054	3	PF05729.12 ; NACHT ; NACHT dom	91.4	0.0039	8.9e-07	48.3	0.0	17	546-562	1-17  (170)
OCL05054	4	PF01637.18 ; ATPase_2 ; ATPase	91.3	0.0042	9.5e-07	50.1	0.0	28	535-562	9-37  (209)
OCL05054	5	PF13191.6 ; AAA_16 ; AAA ATPas	91.3	0.0043	9.6e-07	49.3	0.0	18	545-562	24-41  (189)
OCL05054	6	PF05621.11 ; TniB ; Bacterial	91.1	0.0047	1e-06	49.3	0.0	18	545-562	35-52  (191)
OCL05054	7	PF07693.14 ; KAP_NTPase ; KAP	88.8	0.011000000000000001	2.4e-06	51.2	0.0	18	545-562	31-48  (307)
OCL05054	8	PF13671.6 ; AAA_33 ; AAA domai	88.8	0.011000000000000001	2.5e-06	44.9	0.0	16	547-562	1-16  (142)
OCL05054	9	PF00931.22 ; NB-ARC ; NB-ARC d	88.6	0.012	2.6e-06	48.1	0.0	27	536-562	6-35  (240)
OCL05054	10	PF00308.18 ; Bac_DnaA ; Bacter	88.6	0.012	2.6e-06	47.6	0.0	28	535-562	21-50  (219)
RDW68062	1	PF17046.5 ; Ses_B ; SesB domai	95.4	9.1e-05	1.7e-08	32.2	0.0	23	16-38	5-27  (28)
KOC17030	1	PF01637.18 ; ATPase_2 ; ATPase	96.6	2.7000000000000004e-06	5.8e-10	57.3	0.0	36	134-169	9-45  (209)
KOC17030	2	PF18751.1 ; Ploopntkinase3 ; P	96.4	5.2e-06	1.1e-09	55.9	0.0	24	145-168	3-27  (187)
