Cluster no	Representative no	Nterm	Nterm_GDT
PKK59642	PKK59642.1	unk	unk
PKK59642	GBC32910.1	unk	unk
PKK59642	EXX56163.1	unk	unk
PKK59642	EXX67380.1	unk	unk
PKK59642	GBC36095.1	unk	unk
PKK59642	GBC44801.1	unk	unk
PKK59642	GBC51899.1	unk	unk
PKK59642	PKC57818.1	unk	unk
PKK59642	PKK58149.1	unk	unk
PKK59642	PKK58668.1	unk	unk
PKK59642	PKK59049.1	unk	unk
PKK59642	PKY34822.1	unk	unk
PKK59642	RGB25069.1	unk	unk
PKK59642	RGB41573.1	unk	unk
PKK59642	XP_025165424.1	unk	unk
PKK59642	XP_025185588.1	unk	unk
PKK59642	XP_025168671.1	unk	unk
PKK59642	GBC28851.1	unk	unk
PKK59642	XP_025171882.1	unk	unk
PKK59642	EXX68369.1	unk	unk
PKK59642	GBC40857.1	unk	unk
PKK59642	PKC13661.1	unk	unk
PKK59642	PKC66608.1	unk	unk
PKK59642	PKK79299.1	unk	unk
PKK59642	PVF91067.1	unk	unk
PKK59642	PVF91149.1	unk	unk
PKK59642	PVF99606.1	unk	unk
RDW91721	RDW91721.1	NOA36 PUP	unk
RDW91721	RDW60544.1	NOA36 PUP	unk
RDW91721	CEF79534.1	NOA36 PUP	PNP_UDP
RDW91721	CEJ87213.1	NOA36 PUP	unk
RDW91721	CEJ93522.1	NOA36 PUP	unk
RDW91721	CEJ94647.1	NOA36 PUP	unk
RDW91721	CRL23313.1	NOA36 PUP	PNP_UDP
RDW91721	CZR52361.1	NOA36 PUP	unk
RDW91721	CZR58258.1	NOA36 PUP	unk
RDW91721	XP_018141392.1	NOA36 PUP	unk
RDW91721	CZR60318.1	NOA36 PUP	unk
RDW91721	EKG17379.1	NOA36 PUP	unk
RDW91721	CZR64681.1	NOA36 PUP	unk
RDW91721	CZT00338.1	NOA36 PUP	unk
RDW91721	CZT10392.1	NOA36 PUP	unk
RDW91721	CZT49999.1	NOA36 PUP	unk
RDW91721	KFZ22834.1	NOA36 PUP	unk
RDW91721	OBT39283.1	NOA36 PUP	unk
RDW91721	XP_020126906.1	NOA36 PUP	unk
RDW91721	ELA27117.1	NOA36 PUP	unk
RDW91721	ELA27115.1	NOA36 PUP	unk
RDW91721	EPE07652.1	NOA36 PUP	unk
RDW91721	EPS37718.1	NOA36 PUP	unk
RDW91721	XP_011118651.1	NOA36 PUP	unk
RDW91721	EXA53638.1	NOA36 PUP	unk
RDW91721	EXL67266.1	NOA36 PUP	unk
RDW91721	EYB25400.1	NOA36 PUP	unk
RDW91721	GAO81652.1	NOA36 PUP	PNP_UDP
RDW91721	KEY75147.1	NOA36 PUP	unk
RDW91721	KFA56604.1	NOA36 PUP	unk
RDW91721	KEY75149.1	NOA36 PUP	unk
RDW91721	KFA80035.1	NOA36 PUP	unk
RDW91721	KFA80037.1	NOA36 PUP	unk
RDW91721	KFA56612.1	NOA36 PUP	unk
RDW91721	KFA69046.1	NOA36 PUP	unk
RDW91721	KFY32262.1	NOA36 PUP	unk
RDW91721	KFY46562.1	NOA36 PUP	HET
RDW91721	KIH90765.1	NOA36 PUP	unk
RDW91721	ERS95853.1	NOA36 PUP	unk
RDW91721	XP_016586730.1	NOA36 PUP	unk
RDW91721	KIL88188.1	NOA36 PUP	unk
RDW91721	KIL92993.1	NOA36 PUP	unk
