OBW67823.1	OBW67823.1	2-HACID_DH
KFY93964.1	KFY93964.1	3-HAO
PNP39886.1	KKP02375.1	AAA
XP_018657206.2	KKP02375.1	AAA
XP_018659251.1	KKP02375.1	AAA
SLM35131.1	SLM35131.1	AAA
KFY86462.1	KFY86462.1	AAA
OOQ89504.1	OOQ89504.1	AA_PERMEASE
XP_001795103.1	XP_001795103.1	AA_PERMEASE
GAQ12113.1	GAQ12113.1	AA_TRANS
KFY31124.1	KFY31124.1	ABC_TRANS_N
CCO37347.1	PMD39587.1	ABM
CEL61606.1	CEL61606.1	ABM
KPM43212.1	KPM43212.1	ACETYLTRANSF
XP_003658939.1	XP_003658939.1	ACETYLTRANSF
KUL87493.1	KUL87493.1	ACETYLTRANSF
OTB04521.1	OTB04521.1	ACETYLTRANSF
PMD35822.1	PMD35822.1	ACPS
KTB33152.1	ESK86708.1	ACTIN
ESK86708.1	ESK86708.1	ACTIN
OQO12151.1	OQO12151.1	ACYL-COA_DH_N
KFY42232.1	KFY42232.1	ADH_N
KFX92601.1	KFY42232.1	ADH_N
KFY28393.1	KFY28393.1	ADH_N
KFY45226.1	KFY42232.1	ADH_N
OWW36156.1	XP_025460581.1	ADH_SHORT
KFA71482.1	KFA71482.1	ADH_SHORT
KZP22874.1	KZP22874.1	ADH_SHORT
XP_025491215.1	XP_025491215.1	ADH_SHORT
PAV22494.1	PAV22494.1	ADH_SHORT
RAR00075.1	RAR00075.1	ADH_SHORT
KZP08039.1	KZP22874.1	ADH_SHORT
KIA75352.1	KIA75352.1	ADH_SHORT
GAD92298.1	GAD92298.1	ADH_SHORT
KEY71713.1	KFA71482.1	ADH_SHORT
RDH30974.1	XP_025460581.1	ADH_SHORT
GAQ05094.1	GAQ05094.1	ADH_SHORT
KFA56009.1	KFA71482.1	ADH_SHORT
GAM41799.1	XP_025460581.1	ADH_SHORT
XP_025460581.1	XP_025460581.1	ADH_SHORT
XP_016598525.1	XP_016598525.1	ADH_SHORT_C2
CUA76546.1	CUA76546.1	AFG1_ATPASE
KPM41494.1	KPM41494.1	ALDEDH
KNZ78754.1	KNZ78754.1	ALDEDH
KIK51792.1	KIK51792.1	ALDEDH
KIK51781.1	KIK51781.1	ALDEDH
KGO40216.1	XP_016595660.1	ALDEDH
XP_016595660.1	XP_016595660.1	ALDEDH
CZR68133.1	CZR68133.1	ALDEDH
KEP53301.1	KEP53301.1	ALDO_KET_RED
KXH27522.1	EXF76859.1	ALDO_KET_RED
EXF76859.1	EXF76859.1	ALDO_KET_RED
KXH46692.1	EXF76859.1	ALDO_KET_RED
XP_003653915.1	XP_003653915.1	ALDO_KET_RED
CRL27137.1	CRL27137.1	AMIDASE
CCO33052.1	PMD39587.1	AMIDASE
OQO19819.1	OQO19819.1	AMIDASE
XP_002151042.1	XP_002151042.1	AMIDOHYDRO
ELA37303.1	ELA37303.1	AMIDOHYDRO
KXN81532.1	KXN81532.1	AMINOTRAN
PWI75715.1	PWI75715.1	AMINOTRAN
XP_001226944.1	XP_001226944.1	AMINO_OXIDASE
XP_008598264.1	XP_008598264.1	AMINO_OXIDASE
XP_007787397.1	XP_007787397.1	AMP-BINDING
PNP51807.1	PNP51807.1	AMP-BINDING
PUU84183.1	PUU84183.1	ANK
KFA76941.1	KFA76941.1	ANK
PWI69315.1	PWI69315.1	ANK
KEY65504.1	KFA76941.1	ANK
KFA45855.1	KFA76941.1	ANK
EPS35660.1	EPS35660.1	ANK
PCD38698.1	PCD38698.1	ANK
XP_022473615.1	XP_022473615.1	ANK
KID94733.1	KID94733.1	ANK
XP_007813294.1	XP_007813294.1	ANK
SLM40492.1	SLM40492.1	AN_PEROXIDASE
XP_001219385.1	XP_001219385.1	ARF
XP_024404665.1	XP_024404665.1	ARGINOSUC_SYNTH
CEL60222.1	CEL60222.1	ASP
PAV18364.1	PAV18364.1	ASP
CRK43346.1	CRK43346.1	ASP
EHK97989.1	EHK97989.1	ASP
ELQ33741.1	ELQ33741.1	ASPZINCIN_M35
PIG87040.1	OCK88792.1	ATP-SYNT_C
OOO11838.1	OOO11838.1	ATP-SYNT_C
XP_002911782.1	XP_002911782.1	ATP-SYNT_EPS
XP_007318181.1	XP_007318181.1	BAG
KXN87166.1	KXN87166.1	BRO1
XP_018706054.1	XP_018706054.1	BSP
KIM37599.1	KIM37599.1	BTB
RDB19731.1	PMD39587.1	C2
RDB17119.1	PMD39587.1	C2
KIJ50186.1	PMD39587.1	C2
RDB20131.1	PMD39587.1	C2
RDB23725.1	PMD39587.1	C2
KDQ21170.1	PMD39587.1	C2
KII86762.1	PMD39587.1	C2
KIJ44835.1	PMD39587.1	C2
KDR74367.1	PMD39587.1	C2
KDR65791.1	PPQ91236.1	C2
KDQ61251.1	PMD39587.1	C2
RDB19739.1	PMD39587.1	C2
KII92446.1	PMD39587.1	C2
XP_009550633.1	PMD39587.1	C2
PAV17903.1	PAV14871.1	C2
PSR75092.1	PMD39587.1	C2
PAV14871.1	PAV14871.1	C2
PAV14873.1	PAV14871.1	C2
PAV22742.1	PAV22742.1	C2
PAV14876.1	PAV14871.1	C2
PAV14883.1	PAV14871.1	C2
PAV20191.1	PAV14871.1	C2
KIJ52189.1	PMD39587.1	C2
PAV18326.1	PMD39587.1	C2
PAV18323.1	PMD39587.1	C2
PAV18305.1	PMD39587.1	C2
PAV18302.1	PMD39587.1	C2
PAV14884.1	PAV14871.1	C2
PAV18297.1	PMD39587.1	C2
PAV18291.1	PMD39587.1	C2
PAV18289.1	PMD39587.1	C2
XP_009550727.1	PMD39587.1	C2
XP_009550713.1	PMD39587.1	C2
XP_009550696.1	PMD39587.1	C2
XP_009550689.1	PMD39587.1	C2
PAV18275.1	PMD39587.1	C2
XP_009550686.1	PMD39587.1	C2
PAV18229.1	PMD39587.1	C2
PAV14886.1	PAV14871.1	C2
