Cluster no	No	Hit	Prob	E-value	P-value	Score	SS	Cols	Query HMM	Template HMM
OBZ65626	1	PF17111.5 ; Helo_like_N ; Fung	94.1	0.00064	1.2e-07	51.7	0.0	135	137-285	13-152 (209)
OBZ65626	2	PF17109.5 ; Goodbye ; fungal S	88.1	0.016	3.1e-06	39.7	0.0	66	110-176	55-120 (123)
OBZ65626	3	PF17107.5 ; SesA ; N-terminal	82.6	0.051	9.699999999999999e-06	37.1	0.0	103	146-260	12-131 (133)
OBZ65626	4	PF05659.11 ; RPW8 ; Arabidopsi	80.7	0.069	1.3000000000000001e-05	37.3	0.0	50	211-260	64-113 (140)
OBZ65626	5	PF17100.5 ; NACHT_N ; N-termin	70.0	0.21	4.1e-05	37.2	0.0	42	114-157	86-127 (229)
OBZ65626	6	PF15967.5 ; Nucleoporin_FG2 ;	41.1	1.5	0.00028	37.5	0.0	19	245-263	356-374 (605)
OBZ65626	7	PF15967.5 ; Nucleoporin_FG2 ;	18.9	6.7	0.0012	33.0	0.0	11	218-228	404-414 (605)
OBZ65626	8	PF16560.5 ; SAPI ; Putative mo	14.5	10.0	0.0019	26.0	0.0	37	138-174	170-206 (213)
OBZ65626	9	PF15967.5 ; Nucleoporin_FG2 ;	13.8	11.0	0.002	31.5	0.0	19	162-180	246-264 (605)
OBZ65626	10	PF07851.13 ; TMPIT ; TMPIT-lik	12.9	12.0	0.0022	28.5	0.0	20	244-263	64-83  (324)
CVK98219	1	PF09907.9 ; HigB_toxin ; HigB_	9.7	15.0	0.0033	18.2	0.0	13	94-106	62-74  (74)
CVK98219	2	PF06616.11 ; BsuBI_PstI_RE ; B	5.3	36.0	0.0073	20.0	0.0	26	78-103	121-146 (153)
CVK98219	3	PF15090.6 ; DUF4553 ; Domain o	4.4	48.0	0.0092	23.3	0.0	20	86-105	84-103 (472)
CVK98219	4	PF04316.13 ; FlgM ; Anti-sigma	4.2	46.0	0.0099	15.1	0.0	23	73-95	21-43  (55)
CVK98219	5	PF04356.12 ; DUF489 ; Protein	3.6	59.0	0.012	19.4	0.0	24	61-84	28-51  (194)
CVK98219	6	PF16546.5 ; SGTA_dimer ; Homod	3.1	65.0	0.013999999999999999	15.1	0.0	20	61-80	31-50  (66)
CVK98219	7	PF17609.2 ; HCMV_UL124 ; Famil	2.9	88.0	0.016	17.6	0.0	21	20-40	39-59  (126)
CVK98219	8	PF06531.11 ; DUF1108 ; Protein	2.8	83.0	0.016	16.5	0.0	21	81-101	53-73  (84)
CVK98219	9	PF18312.1 ; ScsC_N ; Copper re	2.6	82.0	0.018000000000000002	12.3	0.0	9	95-103	11-19  (34)
CVK98219	10	PF12095.8 ; CRR7 ; Protein CHL	2.5	97.0	0.019	16.3	0.0	29	80-108	53-81  (85)
XP_024755941	1	PF17111.5 ; Helo_like_N ; Fung	99.1	9.1e-15	1.8e-18	116.9	0.0	172	107-281	1-177 (209)
XP_024755941	2	PF17107.5 ; SesA ; N-terminal	97.9	2.3e-09	4.4e-13	78.2	0.0	115	113-231	1-132 (133)
XP_024755941	3	PF06516.11 ; NUP ; Purine nucl	85.1	0.033	6.2e-06	44.3	0.0	49	2-51	69-124 (329)
XP_024755941	4	PF14479.6 ; HeLo ; Prion-inhib	76.1	0.12	2.3e-05	37.1	0.0	33	205-237	137-170 (199)
XP_024755941	5	PF15967.5 ; Nucleoporin_FG2 ;	74.5	0.14	2.7000000000000002e-05	43.7	0.0	15	218-232	352-366 (605)
XP_024755941	6	PF12597.8 ; DUF3767 ; Protein	51.3	0.82	0.00015	28.8	0.0	19	10-28	23-41  (103)
XP_024755941	7	PF00599.17 ; Flu_M2 ; Influenz	48.4	1.0	0.00018	27.1	0.0	25	105-129	21-45  (97)
XP_024755941	8	PF15967.5 ; Nucleoporin_FG2 ;	27.8	3.5	0.00064	34.3	0.0	23	171-193	354-376 (605)
XP_024755941	9	PF05659.11 ; RPW8 ; Arabidopsi	27.6	3.5	0.00065	26.9	0.0	23	140-162	30-52  (140)
XP_024755941	10	PF06103.11 ; DUF948 ; Bacteria	27.3	3.5	0.00066	24.0	0.0	26	125-150	15-40  (87)
XP_007827113	1	PF17107.5 ; SesA ; N-terminal	96.7	1.8000000000000001e-06	4.0999999999999993e-10	53.7	0.0	70	52-121	1-73  (133)
XP_007827113	2	PF17111.5 ; Helo_like_N ; Fung	94.4	0.00037999999999999997	8.7e-08	44.0	0.0	71	49-120	4-78  (209)
XP_007827113	3	PF14479.6 ; HeLo ; Prion-inhib	66.2	0.25	5.5e-05	30.4	0.0	51	48-99	3-53  (199)
XP_007827113	4	PF07531.14 ; TAFH ; NHR1 homol	44.4	1.1	0.00022999999999999998	25.1	0.0	52	48-100	31-82  (90)
XP_007827113	5	PF03181.15 ; BURP ; BURP domai	25.5	3.6	0.00075	26.0	0.0	39	82-120	35-73  (217)
XP_007827113	6	PF07889.12 ; DUF1664 ; Protein	24.0	4.2	0.0008300000000000001	23.8	0.0	27	74-100	37-63  (123)
XP_007827113	7	PF02416.16 ; MttA_Hcf106 ; mtt	21.0	5.0	0.001	19.2	0.0	28	73-100	20-47  (53)
XP_007827113	8	PF13939.6 ; TisB_toxin ; Toxin	16.3	8.6	0.0016	16.9	0.0	12	50-61	12-23  (28)
XP_007827113	9	PF18160.1 ; SLATT_5 ; SMODS an	14.9	8.2	0.0018	22.4	0.0	12	50-61	71-82  (190)
XP_007827113	10	PF17448.2 ; YqaH ; Uncharacter	11.9	12.0	0.0025	19.1	0.0	24	77-100	9-32  (84)
KUI55455	1	PF17100.5 ; NACHT_N ; N-termin	99.6	3e-21	6.4e-25	180.2	0.0	199	241-446	2-228 (229)
KUI55455	2	PF17109.5 ; Goodbye ; fungal S	98.4	4.9e-11	1e-14	99.0	0.0	121	243-379	1-123 (123)
KUI55455	3	PF17111.5 ; Helo_like_N ; Fung	9.8	15.0	0.0033	26.7	0.0	14	462-475	163-176 (209)
KUI55455	4	PF16496.5 ; SWIRM-assoc_2 ; SW	6.1	31.0	0.0062	29.8	0.0	19	491-509	228-246 (405)
KUI55455	5	PF02478.16 ; Pneumo_phosprot ;	3.8	62.0	0.011000000000000001	25.5	0.0	25	96-120	179-203 (281)
KUI55455	6	PF15967.5 ; Nucleoporin_FG2 ;	3.2	70.0	0.013999999999999999	28.6	0.0	8	307-314	269-276 (605)
KUI55455	7	PF09111.10 ; SLIDE ; SLIDE	2.8	78.0	0.016	21.0	0.0	27	30-56	78-104 (110)
KUI55455	8	PF15967.5 ; Nucleoporin_FG2 ;	2.6	88.0	0.017	27.8	0.0	7	247-253	282-288 (605)
KUI55455	9	PF05110.13 ; AF-4 ; AF-4 proto	2.4	99.0	0.019	30.0	0.0	32	229-261	1133-1164(1194)
KUI55455	10	PF09548.10 ; Spore_III_AB ; St	2.2	100.0	0.021	21.3	0.0	76	238-322	78-161 (164)
KKY21558	1	PF01083.22 ; Cutinase ; Cutina	97.9	1.7000000000000001e-09	3.6000000000000003e-13	99.9	0.0	122	263-391	3-141 (207)
KKY21558	2	PF12146.8 ; Hydrolase_4 ; Seri	97.6	2e-08	4.4e-12	88.4	0.0	107	264-389	3-114 (239)
KKY21558	3	PF05057.14 ; DUF676 ; Putative	97.5	2.8e-08	6.0999999999999995e-12	90.8	0.0	116	264-391	4-142 (218)
KKY21558	4	PF03096.14 ; Ndr ; Ndr family	97.5	2.8e-08	6.4e-12	90.9	0.0	105	264-389	22-137 (283)
KKY21558	5	PF06259.12 ; Abhydrolase_8 ; A	97.4	5e-08	1.0000000000000001e-11	87.9	0.0	68	320-391	93-160 (190)
KKY21558	6	PF02089.15 ; Palm_thioest ; Pa	97.4	5e-08	1.1e-11	90.4	0.0	105	267-391	1-112 (271)
KKY21558	7	PF02129.18 ; Peptidase_S15 ; X	97.3	9.199999999999999e-08	2.1e-11	85.3	0.0	111	263-390	16-129 (267)
KKY21558	8	PF00975.20 ; Thioesterase ; Th	97.3	1e-07	2.2999999999999998e-11	82.1	0.0	102	267-389	2-106 (221)
KKY21558	9	PF05705.14 ; DUF829 ; Eukaryot	97.3	1.1e-07	2.5e-11	83.2	0.0	109	267-390	1-111 (238)
KKY21558	10	PF05990.12 ; DUF900 ; Alpha/be	97.2	1.5e-07	3.2e-11	84.2	0.0	121	263-391	11-136 (213)
KEY84097	1	PF05918.11 ; API5 ; Apoptosis	29.8	2.6	0.00056	40.0	0.0	103	274-384	46-156 (540)
KEY84097	2	PF13998.6 ; MgrB ; MgrB protei	21.8	5.1	0.00098	23.4	0.0	16	348-363	7-22  (29)
KEY84097	3	PF12039.8 ; DUF3525 ; Protein	20.0	5.9	0.0011	35.8	0.0	94	93-197	246-341 (364)
KEY84097	4	PF14071.6 ; YlbD_coat ; Putati	15.8	8.1	0.0016	29.1	0.0	39	259-297	61-99  (114)
KEY84097	5	PF14098.6 ; SSPI ; Small, acid	15.2	8.8	0.0017	26.2	0.0	49	337-385	13-61  (64)
KEY84097	6	PF07539.12 ; DRIM ; Down-regul	10.2	14.0	0.0031	34.2	0.0	63	156-219	407-469 (603)
