Representative no	Nterm	Family/annotation	E-value
PNP56936.1	unk	PNP_UDP_1	0.0013
PNP57730.1	unk	PNP_UDP_1	0.00057
PNP52544.1	unk	PNP_UDP_1	8e-07
PNP53200.1	unk	PNP_UDP_1	8.900000000000001e-06
PPJ58132.1	unk	Goodbye	3.1e-10
PPJ59952.1	unk	Patatin	0.0045
PPJ60506.1	unk	Goodbye	2.3e-28
PNP79786.1	unk	Goodbye	2.2000000000000002e-23
PNP80119.1	unk	PNP_UDP_1	3.6000000000000003e-06
PNP85196.1	unk	PNP_UDP_1	0.00018
POR36002.1	unk	Helo_like_N	0.0013
PNS19328.1	unk	Goodbye	6.5e-15
PNP48539.1	unk	PNP_UDP_1	7.2000000000000005e-06
PMD42291.1	unk	DUF676	0.0012
PMD35113.1	unk	Goodbye	1.3999999999999999e-14
PMD19050.1	unk	HET	0.0018
PMD28804.1	unk	HET	5.9e-07
PMD23674.1	unk	PNP_UDP_1	2.9999999999999997e-05
PNP40411.1	unk	PNP_UDP_1	0.0015
PNP40510.1	unk	PNP_UDP_1	6.4e-07
PNP42312.1	unk	PNP_UDP_1	1.5e-06
PNP46606.1	unk	Goodbye	5.7e-15
PNH48857.1	unk	PNP_UDP_1	7.5e-08
PNH61416.1	unk	PNP_UDP_1	7.5e-08
PPQ89298.1	unk	Goodbye	0.0037
PMD18033.1	unk	HET	1.9e-05
PCD42728.1	unk	PNP_UDP_1	0.0012
PCD46675.1	unk	Goodbye	4.7e-13
PCG88151.1	unk	Ses_B	5.4000000000000005e-05
PCG89050.1	unk	PNP_UDP_1	0.0091
PCG91583.1	unk	PNP_UDP_1	0.003
PCG94078.1	unk	PNP_UDP_1	5.2e-07
PCG95916.1	unk	PNP_UDP_1	1.5e-06
PCG97775.1	unk	PNP_UDP_1	3.9e-05
PCD26860.1	unk	Goodbye	4.2e-16
PCD27290.1	unk	Goodbye	4.5e-23
PCD28405.1	unk	PNP_UDP_1	1.4e-06
PCD28415.1	unk	CHAT	0.00082
PCD30326.1	unk	HeLo	7.6e-10
PCD34047.1	unk	Goodbye	9.4e-15
PCD34768.1	unk	Goodbye	3.5e-14
PGG94975.1	unk	PNP_UDP_1	8.499999999999999e-05
PGG94981.1	unk	PNP_UDP_1	0.00015
PGG95107.1	unk	PNP_UDP_1	7.099999999999999e-05
PGG95862.1	unk	PNP_UDP_1	2.1000000000000002e-06
PGG96037.1	unk	PNP_UDP_1	0.00045999999999999996
PGG99156.1	unk	PNP_UDP_1	3.2e-06
PCH00676.1	unk	PNP_UDP_1	0.003
PBK81342.1	unk	NACHT_N	1.9e-05
PBK84337.1	unk	NACHT_N	0.0087
PCD20317.1	unk	PNP_UDP_1	5.3e-09
PCD20333.1	unk	PNP_UDP_1	2.6e-08
PBK88447.1	unk	Patatin	0.0031
PKK54178.1	unk	PNP_UDP_1	0.0005099999999999999
PKK54842.1	unk	PNP_UDP_1	9.3e-07
PKR95642.1	unk	HET	9.4e-06
PKS02732.1	unk	Goodbye	1.7e-13
PKK47698.1	unk	Goodbye	1.6000000000000002e-19
PKK49452.1	unk	PNP_UDP_1	3.6e-07
PKK51110.1	unk	NACHT_N	0.0067
PKK51856.1	unk	Goodbye	7.200000000000001e-16
PKK48481.1	unk	PNP_UDP_1	1.9e-07
PMB73858.1	unk	PNP_UDP_1	0.00015
PMD15358.1	unk	HET	1e-07
PKS12614.1	unk	Goodbye	2.7e-16
PLN78804.1	unk	PNP_UDP_1	2.2e-06
PLN82863.1	unk	PNP_UDP_1	4.2e-08
PLN86801.1	unk	PNP_UDP_1	0.00018
PLN86860.1	unk	Goodbye	3.9999999999999995e-15
PMB64123.1	unk	Goodbye	3.5e-29
PLN80713.1	unk	Goodbye	2.9e-19
PKK43608.1	unk	PNP_UDP_1	0.0006900000000000001
PGH33564.1	unk	PNP_UDP_1	1.9e-07
PHH49543.1	unk	Patatin	1.9e-05
PHH49546.1	unk	Patatin	0.00011999999999999999
PHH50467.1	unk	Patatin	7.7e-05
PHH51899.1	unk	Patatin	1.7e-05
PHH55068.1	unk	Goodbye	1e-05
PGH06950.1	unk	Ses_B	0.00015
PGH09567.1	unk	PNP_UDP_1	2e-07
PGH14636.1	unk	PNP_UDP_1	3e-06
PIG88832.1	unk	PNP_UDP_1	0.00085
PIG89904.1	unk	PNP_UDP_1	7.8e-07
PIG81970.1	unk	NACHT_N	2.1000000000000002e-06
PIG81541.1	unk	PNP_UDP_1	1.3e-06
PHH76533.1	unk	NACHT_N	0.0006799999999999999
PHH77436.1	unk	PNP_UDP_1	1.4e-06
PHH89663.1	unk	PNP_UDP_1	1.3e-06
PIG80286.1	unk	PNP_UDP_1	5.5e-08
PIG69509.1	unk	PNP_UDP_1	0.0015
PIG69472.1	unk	PNP_UDP_1	8.4e-07
PGH05123.1	unk	PNP_UDP_1	4.9000000000000005e-06
PWO05980.1	unk	Ses_B	0.0034
PWO08837.1	unk	HET	2.8999999999999998e-08
PWO20497.1	unk	PNP_UDP_1	2.5e-06
PVI06673.1	unk	NACHT_sigma	0.001
PVI00627.1	unk	Goodbye	2.4e-09
PVH71314.1	unk	HET	0.0023
PVH81398.1	unk	PNP_UDP_1	8.1e-08
PVH71050.1	unk	HET	8.1e-05
PVH69381.1	unk	PNP_UDP_1	8.9e-07
PVH92326.1	unk	PNP_UDP_1	9.8e-08
PVH94219.1	unk	PNP_UDP_1	9.1e-05
PVH98812.1	unk	PNP_UDP_1	6.2e-14
PVH90366.1	unk	PNP_UDP_1	3.1e-07
PZD24293.1	unk	PNP_UDP_1	2.5e-06
PZD39325.1	unk	PNP_UDP_1	2.5e-06
RAK71277.1	unk	Ses_B	7.2999999999999996e-06
RAK72163.1	unk	PNP_UDP_1	1.2e-05
RAK72848.1	unk	Ses_B	0.0042
PZD14860.1	unk	HET	2.8999999999999998e-08
PZC90497.1	unk	PNP_UDP_1	2.5e-06
PZC90613.1	unk	PNP_UDP_1	0.0023
PZC93225.1	unk	PNP_UDP_1	2.5e-06
PZC94696.1	unk	HET	2.8999999999999998e-08
PZC95783.1	unk	PNP_UDP_1	2.6000000000000002e-05
PZC98469.1	unk	Goodbye	5.6e-22
PZC98630.1	unk	Ses_B	0.0034
RAO71649.1	unk	PNP_UDP_1	1.2e-05
RAQ40897.1	unk	NACHT_N	3e-07
RAQ43261.1	unk	PNP_UDP_1	5.6e-07
RAQ51299.1	unk	PNP_UDP_1	2e-07
RAO67869.1	unk	PNP_UDP_1	2e-06
RAK74659.1	unk	Ses_B	0.0011
RAK75336.1	unk	Goodbye	4.4999999999999996e-36
RAK80020.1	unk	Goodbye	4.6e-31
RAO67991.1	unk	PNP_UDP_1	1e-07
RAK81387.1	unk	Ses_B	2.1e-05
RAO66282.1	unk	PNP_UDP_1	3.2e-11
PYH93536.1	unk	Goodbye	4e-26
PYI00247.1	unk	PNP_UDP_1	8.1e-08
PYI00655.1	unk	PNP_UDP_1	6.8e-10
PYI02494.1	unk	Goodbye	9.5e-07
PYH89489.1	unk	Ses_B	8.2e-05
PYI32269.1	unk	Ses_B	0.0011
PYI33509.1	unk	Ses_B	0.0075
PYI26896.1	unk	Ses_B	4e-06
PYI33535.1	unk	Ses_B	0.00044
PYI35544.1	unk	Ses_B	0.0011
PYI12806.1	unk	PNP_UDP_1	2.7e-08
PYI13145.1	unk	PNP_UDP_1	4.2e-08
PYI14033.1	unk	Ses_B	0.0054
PYI17232.1	unk	PNP_UDP_1	0.00045999999999999996
PYI23436.1	unk	Ses_B	0.0092
PSN59120.1	unk	PNP_UDP_1	4.4e-14
PTD07968.1	unk	Goodbye	4.8e-22
PTB81794.1	unk	PNP_UDP_1	1.2e-05
PSR80786.1	unk	C2	7.2000000000000005e-06
PTB73692.1	unk	Goodbye	4.1e-15
PTB75278.1	unk	PNP_UDP_1	0.0005099999999999999
PQE05542.1	unk	PNP_UDP_1	7.7e-05
PQK08708.1	unk	PNP_UDP_1	0.0007700000000000001
PQK15827.1	unk	PNP_UDP_1	9.7e-05
PQK16766.1	unk	Ses_B	0.0043
PSK35094.1	unk	PNP_UDP_1	0.0014
PSK41866.1	unk	PNP_UDP_1	9e-08
PSK48671.1	unk	Goodbye	1.7e-14
PQE31108.1	unk	Ses_B	0.0005
PQE14662.1	unk	PNP_UDP_1	8.4e-07
PQE15611.1	unk	PNP_UDP_1	1.6e-06
PQE22429.1	unk	PNP_UDP_1	4.1e-05
PQE30879.1	unk	Ses_B	4.5e-05
PQE30876.1	unk	Ses_B	0.00015
PQE30100.1	unk	PNP_UDP_1	4.9e-05
PQE28655.1	unk	Ses_B	0.00043
PQE26803.1	unk	PNP_UDP_1	1.5e-07
PQE25066.1	unk	PNP_UDP_1	1.9e-07
PVF94750.1	unk	Patatin	6e-08
PVF95076.1	unk	Patatin	2.7999999999999996e-10
PVF95188.1	unk	Patatin	0.0009400000000000001
PVF95584.1	unk	Patatin	3.7e-05
PVF95715.1	unk	Patatin	8.7e-11
PVF95966.1	unk	Patatin	1.1e-05
PVF93434.1	unk	Patatin	8.6e-12
PVF93948.1	unk	Patatin	9.499999999999999e-05
PVF93958.1	unk	Patatin	9.4e-05
PVF94148.1	unk	Patatin	0.00016
PVF94461.1	unk	Patatin	2.8999999999999997e-05
PVF94462.1	unk	Patatin	2.2e-05
PVF94463.1	unk	Patatin	1.9e-05
PVG02886.1	unk	Patatin	6.4e-06
PVG02910.1	unk	Patatin	9.4e-05
PVG01559.1	unk	Patatin	1.6e-05
PVF99685.1	unk	Patatin	0.0073
PVF99820.1	unk	Patatin	0.00073
PVF99825.1	unk	Patatin	2.8e-08
PVG00686.1	unk	Patatin	0.0038
PVG00689.1	unk	Patatin	0.00026000000000000003
PVG01072.1	unk	Patatin	3.5e-07
PVF90983.1	unk	Patatin	0.00014
PUU82408.1	unk	CHAT	2.6000000000000002e-05
PVF92431.1	unk	Patatin	0.00055
PVF92777.1	unk	Patatin	6.6e-05
