SJL16168.1	SJL16168.1
SJL17422.1	SJL17422.1
SJL17422.1	PBK60207.1
SJL17423.1	SJL17423.1
SJL17423.1	PBK80471.1
SJL17581.1	SJL17581.1
SJL18810.1	SJL18810.1
SJL18810.1	PBK86757.1
SLM33461.1	SLM33461.1
SLM33461.1	RDI87308.1
SLM34852.1	SLM34852.1
SLM34908.1	SLM34908.1
SLM35131.1	SLM35131.1
SLM36062.1	SLM36062.1
SLM36361.1	SLM36361.1
SLM36361.1	SLM40735.1
SLM38142.1	SLM38142.1
SLM38641.1	SLM38641.1
SLM39235.1	SLM39235.1
SLM39258.1	SLM39258.1
SLM40242.1	SLM40242.1
SLM40492.1	SLM40492.1
SLM41431.1	SLM41431.1
XP_002559406.1	XP_002559406.1
XP_002561881.1	XP_002561881.1
XP_002561881.1	CDM29510.1
XP_002561881.1	KZN91793.1
XP_002583981.1	XP_002583981.1
XP_002849051.1	XP_002849051.1
XP_002850044.1	XP_002850044.1
XP_002850044.1	OAL69251.1
XP_002850044.1	OAL63352.1
XP_002850044.1	XP_003238590.1
XP_002850044.1	DAA78513.1
XP_002850044.1	EGD97898.1
XP_002850044.1	EGE01423.1
XP_002850044.1	XP_003016331.1
XP_002850044.1	XP_003022866.1
XP_002850044.1	XP_003176625.1
XP_002850044.1	KFY30536.1
XP_002850044.1	KFY31849.1
XP_002850044.1	KFZ19943.1
XP_002850044.1	OBT46355.1
XP_002850044.1	OBT69074.1
XP_002850044.1	OBT80379.1
XP_002850044.1	XP_018131232.1
XP_002910795.1	XP_002910795.1
XP_002911782.1	XP_002911782.1
XP_003000043.1	XP_003000043.1
XP_003000764.1	XP_003000764.1
XP_003000764.1	CRK23904.1
XP_003000764.1	XP_009654616.1
XP_003000764.1	CRK23912.1
XP_003000764.1	CRK17950.1
XP_003005568.1	XP_003005568.1
XP_003005568.1	XP_009649504.1
XP_003005568.1	CRK26122.1
XP_003007147.1	XP_003007147.1
XP_003007147.1	KIH89699.1
XP_003008115.1	XP_003008115.1
XP_003008115.1	CCA73382.1
XP_003008115.1	GAM40359.1
XP_003008115.1	KIM96224.1
XP_003008115.1	PMD43045.1
XP_003008115.1	RFU27200.1
XP_003008115.1	RDW57688.1
XP_003008115.1	SLM40026.1
XP_003008115.1	XP_002843394.1
XP_003008115.1	XP_003660299.1
XP_003008115.1	XP_011315824.1
XP_003008115.1	CEG03183.1
XP_003008115.1	PCD18978.1
XP_003008115.1	XP_016644882.1
XP_003008115.1	XP_018152664.1
XP_003008115.1	XP_022481196.1
XP_003027226.1	XP_003027226.1
XP_003028066.1	XP_003028066.1
XP_003028066.1	KDQ22961.1
XP_003028066.1	KDQ26094.1
XP_003028066.1	KDQ25236.1
XP_003028066.1	KDQ26132.1
XP_003031489.1	XP_003031489.1
XP_003036387.1	XP_003036387.1
XP_003039203.1	XP_003039203.1
XP_003041802.1	XP_003041802.1
XP_003042127.1	XP_003042127.1
XP_003043143.1	XP_003043143.1
XP_003043143.1	GAP91307.1
XP_003043143.1	XP_011318227.1
XP_003043143.1	PCD39326.1
XP_003043143.1	PTD13063.1
XP_003043143.1	XP_009255200.1
XP_003046223.1	XP_003046223.1
XP_003047860.1	XP_003047860.1
XP_003049434.1	XP_003049434.1
XP_003050150.1	XP_003050150.1
XP_003051029.1	XP_003051029.1
XP_003174118.1	XP_003174118.1
XP_003174118.1	XP_002844529.1
XP_003174928.1	XP_003174928.1
XP_003174928.1	XP_002848137.1
XP_003174928.1	KMU92125.1
XP_003174928.1	PWW74296.1
XP_003174928.1	XP_007705274.1
XP_003174928.1	XP_018258293.1
XP_003176011.1	XP_003176011.1
XP_003236619.1	XP_003236619.1
XP_003343335.1	XP_003343335.1
XP_003343913.1	XP_003343913.1
XP_003344560.1	XP_003344560.1
XP_003344562.1	XP_003344562.1
XP_003346983.1	XP_003346983.1
XP_003347396.1	XP_003347396.1
XP_003348520.1	XP_003348520.1
XP_003349173.1	XP_003349173.1
XP_003350584.1	XP_003350584.1
XP_003350584.1	EGZ76200.1
XP_003350584.1	XP_009857305.1
XP_003437456.1	XP_003437456.1
XP_003649623.1	XP_003649623.1
XP_003653781.1	XP_003653781.1
XP_003656212.1	XP_003656212.1
XP_003656212.1	OBT74613.1
XP_003656212.1	OIW24734.1
XP_003656212.1	OQU97922.1
XP_003658939.1	XP_003658939.1
XP_003658939.1	XP_003656916.1
XP_003658939.1	XP_001220518.1
XP_003659761.1	XP_003659761.1
XP_003708751.1	XP_003708751.1
XP_003708751.1	ELQ32321.1
XP_003710517.1	XP_003710517.1
XP_003711290.1	XP_003711290.1
XP_003711290.1	XP_009219598.1
XP_003711290.1	KLU82190.1
XP_003712649.1	XP_003712649.1
XP_003712649.1	ELQ39292.1
XP_003716910.1	XP_003716910.1
XP_003716910.1	ELQ42196.1
XP_003720097.1	XP_003720097.1
XP_003835509.1	XP_003835509.1
XP_003839705.1	XP_003839705.1
XP_003839865.1	XP_003839865.1
XP_003847950.1	XP_003847950.1
XP_003852080.1	XP_003852080.1
XP_006457729.1	XP_006457729.1
XP_006457729.1	KXN81275.1
XP_006457729.1	KXN84027.1
XP_006457729.1	KXN91173.1
XP_006457729.1	KXN80829.1
XP_006457729.1	KXN81498.1
XP_006458654.1	XP_006458654.1
XP_006464022.1	XP_006464022.1
XP_006464022.1	XP_007332518.1
XP_006665919.1	XP_006665919.1
XP_006665919.1	ATY65489.1
XP_006667733.1	XP_006667733.1
XP_006667733.1	ATY60031.1
XP_006670175.1	XP_006670175.1
XP_006670175.1	ATY65019.1
XP_006670175.1	XP_013313187.1
XP_006670175.1	KIW64874.1
XP_006672309.1	XP_006672309.1
XP_006672309.1	ATY62343.1
XP_013941342.1	XP_013941342.1
XP_013941342.1	XP_009258837.1
XP_013945457.1	XP_013945457.1
XP_013945813.1	XP_013945813.1
XP_013945813.1	XP_024756247.1
